brand,model_number,model_name,alternatives,inches,width,height,panel,on_w,sleep_w,off_w,max_nits,hdr,certified
Acer,CB273U,CB273U_v,,27,2560,1440,TFT LCD,20.48,0.28,0.19,350,,2021-08-25
Acer,CB322Q,CB322Q_b,,31.5,1080,1920,IPS LCD,12.42,0.21,0.16,300,,2026-06-18
Acer,CB322QK,CB322QK_b,,31.5,3840,2160,IPS LCD,30.3,0.26,0.22,350,,2024-10-31
Acer,"CB322QK SEMIPRUZX, CB322QK SEMIPRUX, CB322QK SEMIPRX, CB322QK BEMIPRUZX",CB322QK,,31.5,2160,3840,IPS LCD,30.89,0.34,0,350,,2022-03-24
Acer,CB322QK_v,CB322QK_v,CB322QK***,31.5,3840,2160,TFT LCD,24.45,0.28,0.13,350,,2025-09-26
Acer,CB322QU,CB322QU_b,EB321HQU_b|EB321HQU,31.5,2560,1440,IPS LCD,19.46,0.36,0,300,,2024-06-20
Acer,CB323QK_v,CB323QK_v,CB323QK***,31.5,3840,2160,TFT LCD,20.17,0.89,0.26,350,,2025-11-11
Acer,CB342CUR,CB342CUR_a,CB34******|CBA34******|GA34******,34,3440,1440,VA LCD,25.02,0.35,0.12,250,,2025-08-21
Acer,CB342CUR,CB342CUR_v,,34,3440,1440,TFT LCD,33.61,0.39,0.29,300,,2021-07-16
Acer,CB343CUR,CB343CUR,CB34*******|B343CUR_a|CBA34*******|ED34*******|EDA34*******|GA34*******|XZ34*******|XV34*******|XZA34*******,34,3440,1440,VA LCD,27.72,1.14,0.25,350,,2026-01-19
Acer,CB343CUR,CB343CUR_v,,34,3440,1440,IPS LCD,31.9,0.27,0.21,300,,2023-11-02
Acer,CB382CUR,CB382CUR_v,,37.5,1600,3840,TFT LCD,40.6,0.49,0.29,300,,2021-06-03
Acer,CZ342CUR,CZ342CUR,,34,3440,1440,VA LCD,30.61,0.22,0.21,287.1,DisplayHDR 1000,2023-01-12
Acer,E200Q,E200Q_k,K202|KA200|K202Q|KA200Q|V206Q,19.5,1600,900,IPS LCD,10.98,0.12,0.1,220,,2024-01-25
Acer,EB247YD,EB247YD,,23.8,1080,1920,IPS LCD,13.39,0.25,0.21,244,,2026-06-26
Acer,EK221Q,EK221Q_a,EG22*****|EK22*****|KA22*****|KB22*****|KC22*****|SA22*****|SB22*****|SC22*****|V22*******,21.5,1920,1080,IPS LCD,10.46,0.11,0.1,250,,2023-10-12
Acer,EK241Y,EK241Y_a,EG24*****|EK24****|K*24*****|KA242Y|KA24*****|KB24*****|KC24*****|PG24*****|XF24*****,23.8,1920,1080,IPS LCD,14.13,0.15,0.12,250,,2023-09-11
Acer,EK241Y,EK241Y_a,EK24****|KA24*****|KB24*****|KC24*****,23.8,1920,1080,IPS LCD,13.69,0.09,0.08,286.6,,2025-01-10
Acer,EK251Q,EK251Q_a,E*25*****|EK251|EK25*****|K*25*****|KA251Q|KA25*****|KB25*****|KC25*****|N245*****,24.5,1920,1080,IPS LCD,13.17,0.15,0.13,250,,2023-09-06
Acer,EK251Q,EK251Q_a,E*25*****|KA25*****|EK25*****|K*25*****|V25******|KB25*****|KC25*****|N245*****,24.5,1920,1080,IPS LCD,11.23,0.21,0.19,250,,2026-05-14
Acer,EK271K,EK271K _a,ED*27*****|ED27*****|EG27*****|EK27****|KA27*****|KB27*****|KC27*****|KG27*****|QG27*****|R27*****|SA27*****|SB27*****|SH27*****|VG27*****|XF27*****|XV*27*****|XV27*****|XZ27*****,26.9,3840,2160,IPS LCD,25.2,0.14,0.11,250,,2025-10-29
Acer,EK271U_a,EK271U_a,E*27*****|EEK27*****|EG27*****|KA27*****|XF27*****,27,1920,1080,IPS LCD,13.18,0.41,0.13,250,,2025-07-08
Acer,"EK321Q, EK321Q_a, EK32******, XV32******, XB32******, B32****** (* can be A-Z, 0-9 or - or blank for marketing purpose only)",LCD Monitor,EK321Q|EK321Q_a|EK32******|XV32******|XB32******|B32******,31.5,1920,1080,IPS LCD,20.18,0.11,0.11,332.7,,2025-03-03
Acer,EK321QK_a,EK321QK,EK32******|XV32*****,31.5,3840,2160,IPS LCD,28,0.14,0.1,250,,2025-01-15
Acer,EV206HQL,EV206HQL*,,19.5,1600,900,IPS LCD,10,0.23,0.2,250,,2022-12-06
Acer,KA272_a,LCD Monitor,DA27*****|ED27*****|EK27*****|GA27*****|KA27*****|KA272|KG27*****|R27*****|SA27*****|SB27*****|SH27*****,27,1920,1080,IPS LCD,11.86,0.16,0.15,405.3,,2024-09-13
Acer,MA240,MA240,MA240t,23.8,1920,1080,IPS LCD,14.7,0.27,0.21,250,,2022-09-16
Acer,MK221Q,MK221Q_c,,21.5,1920,1080,TFL-LCD,11.84,0.08,0.07,250,,2025-03-20
Acer,MK241Y,MK241Y_c,,23.8,1920,1080,TFL-LCD,10.3,0.07,0.06,300,,2025-03-20
Acer,PE140WU_z,PE140WU_z,14PEXXXXXXX|14PGXXXXXX|14PMXXXXXX|PE140WUXXXX|PE14XXXXXX|PG14XXXXXX|PM14XXXXXX,14,1920,1200,TFT-LCD,3.01,0.33,0.3,300,,2026-01-13
Acer,PE160W,PE160W,16PE0WU|16PEXXXXXXX|PE160WU|PE16XXXXXXX,16,1920,1200,OLED,5.84,0.21,0.19,320,,2026-03-25
Acer,PE160WU_z,PE160WU_z,16PEXXXXXXX|16PGXXXXXX|16PMXXXXXX|PE160WU|PE160WUT|PE160WUXXXX|PE16XXXXXX|PG16XXXXXX|PM16XXXXXX,16,2880,1800,TFT-LCD,8.27,0.61,0.12,400,,2026-01-13
Acer,PE270K _v,PE270K _v,PE270K***,27,3840,2160,TFT LCD,25.3,0.28,0.23,350,,2025-11-12
Acer,PE270K_v,PE270K_v,PE270K***,26.5,3840,2160,OLED,30.82,0.26,0.23,250,,2026-06-25
Acer,PE270U,PE270U,PE270U***,27,2560,1440,TFT LCD,21.24,0.44,0.28,350,,2025-07-10
Acer,PE270XT,LCD Monitor,PE27******,27,5120,2880,IPS LCD,32.77,0.1,0.1,279.4,DisplayHDR 600,2025-07-18
Acer,PE270X_v,PE270X_v,PE270X***,27,5120,2880,TFT LCD,26.69,0.27,0.22,600,DisplayHDR 600,2025-11-12
Acer,PE320QK,PE320QK bmiipruzx,,31.5,2160,3840,TFT LCD,37.7,0.47,0.35,300,DisplayHDR 400,2019-12-27
Acer,PE320QK_v,PE320QK_v,PE320QK***,31.5,3840,2160,TFT LCD,31.3,0.32,0.25,350,,2025-11-21
Acer,PE320QXT--,PE320QXT--,PE320******,31.5,1080,1920,TFT-LCD,44.87,0.23,0.01,326.6,DisplayHDR 600,2025-08-22
Acer,PE320QX_v,PE320QX_v,PE320QX***,31.5,6016,3384,TFT LCD,34.69,0.33,0.24,400,DisplayHDR 600,2026-05-26
Acer,PM161Q,Monitor,,15.6,1920,1080,IPS LCD,4.98,0.26,0.25,310.6,,2024-05-28
Acer,PM161Q,PM161Q_k,PM16*********,15.6,1920,1080,IPS LCD,6.14,0.21,0.17,250,,2024-07-24
Acer,SA272_a,SA272_a,E*27*****|EG27*****|EK27*****|K*27*****|KA27*****|KB27*****|KC27*****|KG27*****|S*27*****|SA27*****|SB27*****|SC27*****|X*27*****|XF27*****,27,1920,1080,IPS LCD,14.3,0.15,0.14,250,,2023-09-06
Acer,UT222Q,UT222Q_a,UT22******,21.5,1920,1080,IPS LCD,11.46,0.4,0.12,250,,2024-08-09
Acer,UT241Y,UT241Y_v,,23.8,1080,1920,IPS LCD,17.53,0.22,0.17,250,,2020-01-06
Acer,UT241Y B,UT241Y B,UT241Y***,23.8,1920,1080,TFT LCD,14.08,2.2,0.23,250,,2025-10-25
Acer,UT242Y,UT242Y_b,,23.8,1920,1080,IPS LCD,10.6,0.7,0.18,400,,2022-12-26
Acer,UT242Y bmipzx,UT242Y,,23.8,1920,1080,IPS LCD,10.95,0.54,0.15,400,,2026-01-28
Acer,UT272,UT272_b,,27,1920,1080,TN LCD,12.01,0.2,0.16,360,,2024-01-24
Acer,UT272U,UT272U_b,,27,2560,1440,IPS LCD,11.82,0.6,0.18,360,,2024-01-15
Acer,V176L,V176L_q,,17,1280,1024,TN LCD,8.2,0.3,0.1,250,,2019-11-01
Acer,V196L,V196L_q,,19,1280,1024,TN LCD,9.5,0.3,0.1,250,,2019-11-26
Acer,V206HQL,V206HQL Bb_q,,19.4,1366,768,TN LCD,7.5,0.2,0.1,200,,2019-10-24
Acer,V206HQL,V206HQL b_q,,19.5,1600,900,TN LCD,9.2,0.3,0.2,200,,2019-10-03
Acer,V206Q,V206Q_m,E200****|K202Q|KA200Q|V20******,19.5,1600,900,TN LCD,10.58,0.15,0.13,250,,2024-06-10
Acer,V226HQL,V226HQL Bb,,21.5,1920,1080,TN LCD,12.29,0.18,0.13,200,,2020-03-05
Acer,V226HQL,V226HQL b,,21.5,1920,1080,TN LCD,12.84,0.21,0.15,250,,2020-03-20
Acer,V226HQL,V226HQL_q,K222HQL_q|KA220HQ_q|K222HQL|KA220HQ,21.5,1920,1080,TN LCD,10.7,0.2,0.1,200,,2019-11-01
Acer,V226HQL B,V226HQL Bb,,21.5,1920,1080,TN LCD,12.29,0.18,0.13,200,,2020-03-17
Acer,V226WL,V226WL_q,,22,1680,1050,TN LCD,10.8,0.3,0.1,250,,2019-11-05
Acer,V227Q,LCD Monitor,EK22*****|KA22*****|KB22*****|KC22*****|R22*****|SA22*****|SB22*****|SC22*****|SH22*****|V22******,21.5,1920,1080,IPS LCD,12.37,0.15,0.14,306.3,,2024-09-13
Acer,V227Q,V227Q_a,B227Q|B22*****|CB22*****|CBA22*****|V22*****,21.5,1920,1080,IPS LCD,11.91,0.12,0.11,250,,2022-09-28
Acer,V227Q,V227Q_b,,21.5,1920,1080,VA LCD,13.06,0.22,0.15,250,,2022-06-23
Acer,V227Q,V227Q_q,,21.5,1920,1080,IPS LCD,9.65,0.14,0.11,250,,2025-07-15
Acer,V246HL,V246HL_q,,24,1920,1080,TN LCD,11.3,0.2,0.1,250,,2019-11-15
Acer,V247W,V247W_q,,24.1,1920,1200,IPS LCD,10.06,0.12,0.08,300,,2021-07-22
Acer,V247Y,V247Y bi,,23.8,1920,1080,TFT LCD,11.86,0.16,0.14,400,,2020-12-22
Acer,V247Y,V247Y_a,B247Y|B24*****|CB242Y|CB24*****|CBA242Y|CBA24*****|V24*****,23.8,1920,1080,IPS LCD,14.5,0.16,0.16,250,,2022-05-26
Acer,V247Y,V247Y_b,,23.8,1080,1920,TFT LCD,13.2,0.22,0.22,250,,2021-01-20
Acer,V247Y,V247Y_k,B247Y_k|B247Y|CB242Y_k|V24**********|B24**********|CB242Y|CB24**********,23.8,1920,1080,IPS LCD,13.82,0.2,0.15,250,,2024-11-19
Acer,V247Y,V247Y_q,,23.8,1920,1080,IPS LCD,10.3,0.1,0.1,250,,2026-05-07
Acer,V247YU,V247YU_v,,23.8,2560,1440,TFT LCD,17.05,0.23,0.16,300,,2023-03-08
Acer,V277,V277_a,B277|B27*****|CB272|CB27*****|CBA272|CBA27*****|V27*****,27,1920,1080,IPS LCD,17.27,0.29,0.22,250,,2024-02-08
Acer,V277,V277_q,,27,1920,1080,IPS LCD,11.8,0.2,0.1,250,,2019-09-25
Acer,V277 G,V277_q,,27,1920,1080,IPS LCD,12.54,0.25,0.12,250,,2026-05-14
Acer,V277U,V277U_q,,27,2560,1440,IPS LCD,16.8,0.2,0.2,350,,2019-12-13
Acer,V277U,V277U_q,,27,2560,1440,IPS LCD,16.82,0.23,0.15,350,,2025-07-17
Acer,VT270,VT270_v,,27,1920,1080,TFT LCD,19.03,0.35,0.24,270,,2022-04-20
Acer,XF270U,XF270U_a,ED*27*****|ED27******|EG27*****|EK27******|KG27*****|MGB27*****|QG27*****|VG27*****|XF270|XF27*****|XV*27*****|XV27*****|XZ27*****,27,2560,1440,IPS LCD,12.62,0.18,0.17,250,,2026-08-14
aidata,BM-X7,BM-X7,,23.8,1920,1080,IPS LCD,14.05,0.18,0.16,250,,2025-01-02
AOC,16T3EA,16T3EA,16G3|16T3E|16T3NE,15.6,1920,1080,TFT LCD,7.25,0.32,0.27,250,,2023-08-11
AOC,185LM00019,E970PWHEN,E970SWN|E970SWHEN|E970SWNL|E970SWN5,18.5,1366,768,TN LCD,7.54,0.3,0.2,250,,2020-01-22
AOC,195LM00003,E2070SWNE,E2070SWHN|E2070SWN,19.5,1600,900,TFT LCD,10.16,0.27,0.22,200,,2020-03-10
AOC,20E1,20E1H,,19.5,900,1600,TFT LCD,9.57,0.17,0.16,200,,2020-03-16
AOC,22B2D,22B2D,22B2DA|22B2DM,21.5,1920,1080,TFT LCD,12.32,0.2,0.12,200,,2020-11-19
AOC,22B2Q,22B2QAM,,21.5,1920,1080,TFT LCD,12.82,0.14,0.1,250,,2021-06-20
AOC,22E1,22E1,22E1D|22E1H|22E1Q|22P1|22P1D|22P1E,21.5,1080,1920,TFT LCD,13.12,0.29,0.13,250,,2020-01-07
AOC,22E2,22E2H,,21.5,1920,1080,TFT LCD,12.28,0.16,0.09,250,,2023-04-24
AOC,22E2,22E2QA,,21.5,1920,1080,TFT LCD,12.99,0.27,0.22,200,,2020-11-19
AOC,22P2T,22P2T,,21.5,1920,1080,VA LCD,15.25,0.14,0.14,250,,2024-09-25
AOC,22P2UM,22P2UM,22E2UMF|22P2,21.5,1920,1080,TFT LCD,12.85,0.21,0.12,250,,2023-05-23
AOC,24B1,24B1H,24B1XH|24B1XHS,23.8,1080,1920,TFT LCD,12.9,0.18,0.12,250,,2020-03-10
AOC,24B2,24B2H,24B2XH|24B2XHM2,23.8,1080,1920,TFT LCD,14.05,0.24,0.15,250,,2020-03-10
AOC,24B2XD,24B2XD,24B2XDA,23.8,1920,1080,TFT LCD,13.46,0.15,0.12,250,,2020-11-18
AOC,24B31H,24B31H,,23.8,1920,1080,IPS LCD,11.36,0.14,0.11,300,,2024-08-20
AOC,24B3CA2,24B3CA2,24B3CF2|24B3HA2,23.8,1920,1080,IPS LCD,14.55,0.24,0.17,250,,2024-05-31
AOC,24B3QA2,24B3QA2,,23.8,1920,1080,IPS LCD,13.1,0.17,0.12,240,,2024-11-27
AOC,24E1,24E1Q,24P1|24P1E|24P1U|X24P1,23.8,1080,1920,TFT LCD,13.68,0.22,0.14,250,,2020-01-07
AOC,24E2,24E2D,24E2QA|24P2C|24P2|24P2Q|24P2QM|Q24P2Q,23.8,1080,1920,TFT LCD,14.37,0.1,0.1,250,,2022-07-15
AOC,24E2,24E2QA,,23.8,1920,1080,IPS LCD,12.85,0.29,0.22,250,,2020-08-19
AOC,24E3,24E3UM,24E3QAF,23.8,1920,1080,TFT LCD,13.63,0.18,0.18,300,,2022-09-19
AOC,24E3QF,24E3QF,24E3UF,23.8,1920,1080,IPS LCD,13.03,0.4,0.15,300,,2024-09-04
AOC,24E4CV,24E4CV,24E4CVJ,23.8,1920,1080,IPS LCD,15.62,0.3,0.22,300,,2025-06-25
AOC,24E4U,24E4U,24E4UJ,23.8,1920,1080,IPS LCD,12.85,0.16,0.13,300,,2025-04-24
AOC,24P3,24P3QW,24P3CV|24P3C|24P3CW,23.8,1920,1080,TFT LCD,15.14,0.29,0.19,300,,2022-09-30
AOC,24P4CV,24P4CV,24P4CVJ,23.8,1920,1080,IPS LCD,13.92,0.5,0.16,300,,2025-10-22
AOC,24P4U,24P4U,24P4UJ,23.8,1920,1080,IPS LCD,12.02,0.16,0.13,300,,2025-06-20
AOC,24V2,24V2H,24V2Q,23.8,1920,1080,TFT LCD,13.72,0.17,0.16,250,,2023-09-12
AOC,270LM00018,I2781FH,,27,1080,1920,TFT LCD,14.89,0.18,0.11,250,,2020-01-14
AOC,270LM00043,I2790PQU,,27,1080,1920,TFT LCD,15.9,0.3,0.2,250,,2019-12-17
AOC,270LM00043,U2790PQU,U2790VQ,27,2160,3840,TFT LCD,18.95,0.29,0.19,350,,2020-01-08
AOC,27B2,27B2H,,27,1080,1920,TFT LCD,12.94,0.17,0.12,250,,2020-03-16
AOC,27B31H,27B31H,,27,1920,1080,IPS LCD,13.89,0.13,0.11,300,,2024-08-16
AOC,27B3CA2,27B3CA2,27B3CF2|27B3HA2,27,1920,1080,IPS LCD,17.15,0.26,0.18,250,,2024-05-31
AOC,27B3QA2,27B3QA2,,27,1920,1080,IPS LCD,14.26,0.19,0.13,300,,2024-11-27
AOC,27E2,27E2UA,,27,1920,1080,IPS LCD,15.08,0.48,0.18,250,,2020-08-19
AOC,27E3,27E3UM,27E3QAF,27,1920,1080,TFT LCD,15.86,0.17,0.21,300,,2022-09-19
AOC,27E4CV,27E4CV,27E4CVJ,27,1920,1080,IPS LCD,16.63,0.31,0.22,300,,2025-06-26
AOC,27E4U,27E4U,27E4UJ,27,1920,1080,IPS LCD,14.81,0.18,0.14,300,,2025-04-24
AOC,27P1,27P1,,27,1080,1920,TFT LCD,14.18,0.2,0.16,250,,2020-02-27
AOC,27V2,27V2H,27V2Q,27,1080,1920,TFT LCD,15.28,0.16,0.14,250,,2020-01-14
AOC,28P2,U28P2A,,28,3840,2160,TFT LCD,28.97,0.29,0.19,300,,2020-11-19
AOC,CU34E4CV,CU34E4CV,CU34E4CVJ,34,3440,1440,VA LCD,32.42,0.65,0.16,300,,2025-07-24
AOC,CU34P2,CU34P2A,,34,3440,1440,TFT LCD,32.18,0.26,0.15,300,,2020-09-02
AOC,CU34P2C,CU34P2C,,34,3440,1440,TFT LCD,30.23,0.29,0.23,300,,2022-02-16
AOC,CU34P3C,CU34P3CV,,34,3440,1440,TFT LCD,28.11,0.17,0.15,300,,2022-11-17
AOC,CU34V5C,CU34V5C,CU34V5CW,34,3440,1440,VA LCD,31.52,0.36,0.32,300,,2024-09-25
AOC,G2490,G2490VX,G2490VXA,23.8,1920,1080,IPS LCD,13.91,0.21,0.15,250,,2020-09-02
AOC,K27U3D,K27U3D,K27U3|K27U3A|K27U3AM|K27U3DA,27,5120,2880,ADS,29.83,0.3,0.25,500,DisplayHDR 600,2025-05-16
AOC,Q24P3,Q24P3,,23.8,2560,1440,TFT LCD,17.61,0.16,0.1,250,,2023-12-26
AOC,Q27B3CF2,Q27B3CF2,,27,2560,1440,IPS LCD,20.46,0.22,0.17,350,,2024-07-16
AOC,Q27E3,Q27E3UAM,Q27E3UMF,27,2560,1440,TFT LCD,18.59,0.22,0.22,300,,2022-09-19
AOC,Q27E4CV,Q27E4CV,Q27E4CVJ,27,2560,1440,IPS LCD,18.94,0.5,0.23,350,,2025-07-11
AOC,Q27E4CW,Q27E4CW,,27,2560,1440,IPS LCD,18.94,0.5,0.23,350,,2026-07-29
AOC,Q27E4U,Q27E4U,Q27E4UJ,27,2560,1440,IPS LCD,21.12,0.19,0.13,350,,2026-01-23
AOC,Q27P2,Q27P2Q,Q27P2CA,27,2560,1440,TFT LCD,20.94,0.26,0.19,300,,2021-06-22
AOC,Q27P3,Q27P3QW,Q27P3CV|Q27P3C|Q27P3CW,27,2560,1440,TFT LCD,21.66,0.29,0.18,350,,2022-09-30
AOC,Q27P4CV,Q27P4CV,Q27P4CVJ,27,2560,1440,IPS LCD,21.98,0.55,0.16,350,,2025-10-21
AOC,Q27P4U,Q27P4U,Q27P4J|Q27P4UJ,27,2560,1440,IPS LCD,16.84,0.22,0.16,350,,2025-07-11
